iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,2.500102025332649e-05,0.044552625510051444,1.585678590298169e-15,0.6282641040620544,0.42447553895329554,0.9637168231657484,4.829928360127712,0.6282641040620544,0.42447553895329554,0.39069371727188495,0.9348910517988108,0.87753386735605,0.9002292015517511,0.7700656883617376,0.8104126163062042,0.8740212787334868,0.271875,0.03346041794183797,0.21142739563063717,0.5998242570548252,-0.0007608151625850486,0.004941880263797088,0.0034175382156823755,0.0072171685663145165,0.02207853374898103,9.163369275853684,9.101382509250713e-07,0.00010104074056991526,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,2.5317021197059575e-05,0.04455248831713099,4.881184443991506e-15,0.6297092696209585,0.4263093474284747,0.9971954910746607,5.427604044536381,0.6297092696209585,0.4263093474284747,0.3906251005508452,0.952095743603356,0.876763873334431,0.9036516915009006,0.7687148923742665,0.8165863854196376,0.9064863049876275,0.2765625,0.03474101364834645,0.21679701132344817,0.6564937082490593,-0.0007328797711055434,0.00497794218911428,0.0035749325601644416,0.006888732176997277,0.01626597973417573,9.163366786167302,9.176906300144382e-07,0.00011011559054842909,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,2.5413943656478407e-05,0.04455235986707006,8.558763450486835e-15,0.6302085813941328,0.42722876908141216,0.9991920277486409,12.225558101521056,0.6302085813941328,0.42722876908141216,0.39076290810823217,0.9461095249421174,0.8820853578382105,0.907120684704955,0.7780745786023502,0.8228679460355749,0.8951232331861991,0.2809375,0.03421616686802549,0.20476387532401533,0.709040294362882,-0.0009393269633132528,0.004952939381061624,0.0034723990848159196,0.006478515622453517,0.018504540137093104,9.163364560242432,9.028103829448164e-07,0.0001037782025857562,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,2.3859150641360744e-05,0.04455223251692855,1.487883860669872e-14,0.6282014868477779,0.4249802655642833,0.9716875141966455,6.8726318892955724,0.6282014868477779,0.4249802655642833,0.39066317943014,0.9502545210628339,0.8779301534071835,0.9104830391096718,0.7707613554322708,0.8289793645415675,0.9029836548003559,0.28,0.03335871412180217,0.20511787670190176,0.6765692409445653,-0.0008114911881388104,0.004816703508929505,0.0036139756301881683,0.0066524785292504255,0.02795356676146895,9.163362100331012,1.107692521479935e-06,9.874753613506334e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,2.4652085282866378e-05,0.04455210052524472,2.3383634171191446e-14,0.6338861253325166,0.432162429635366,0.994426194327459,5.389729511940783,0.6338861253325166,0.432162429635366,0.3907174140356435,0.9489797374229839,0.8785170033251682,0.9003318593996628,0.7717921263623625,0.8105974579264958,0.9005625420393955,0.285625,0.03515074850140938,0.21061264892368428,0.6133895698979049,-0.0008078087508357088,0.00489893154728045,0.0036848380976096384,0.0063005390553600125,0.02309386969167596,9.163359434959798,1.1702210356327306e-06,0.00010080291954305071,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,2.602278696434989e-05,0.04455196741167269,3.05216917822899e-14,0.6329859475486416,0.4310200117866303,1.0051327955293141,9.615421607786661,0.6329859475486416,0.4310200117866303,0.3907607170617649,0.9340804927643023,0.8844381672635522,0.9105610074839839,0.7822308736879707,0.8291213484352474,0.8725063669628017,0.285,0.035560186725727666,0.2167959348210167,0.7056031833299767,-0.0008239999376378348,0.005034263706553595,0.0037759616972122896,0.0068170236769173565,0.02264438807090647,9.16335676819234,1.1134265615587575e-06,0.00010363321925563667,0.19000381140553352,0.0,0.0,0.9999833181830787,0.012445747498749382,0.3306415615278038,0.6199927415085643,0.3338472119312925,1.3511257370774957e-05,1.2511529593574933e-05,0.48079130074404386
6,2.594678908264824e-05,0.04455183358936943,4.112432810406669e-14,0.6305997451742305,0.4270575772975025,1.0671046334292442,19.04853585675736,0.6305997451742305,0.4270575772975025,0.3907198976625135,0.9347279405869257,0.8780109905218515,0.9037577084238122,0.7709032995759133,0.816777999818663,0.8737163229138752,0.2728125,0.03461559983144024,0.21262062184445468,0.7086469895658528,-0.0010249127773360696,0.004989623521018545,0.003225867256386356,0.006227267083151142,0.0213113190916617,9.16335415271131,1.2876207150570954e-06,0.00010735225429723427,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,2.402228624663873e-05,0.0445517096098987,5.3235662076980386e-14,0.6260840067334231,0.4214353929570562,0.9558044176893893,3.4965114279941245,0.6260840067334231,0.4214353929570562,0.39064898071795695,0.9278855506925299,0.8763687954961731,0.9010785368232739,0.7680222661255139,0.8119425298958709,0.8609715951839794,0.260625,0.03325761419412666,0.21681595744090962,0.5944882545599797,-0.0006954663409419718,0.004851660830607959,0.0037974675762892348,0.00644937753989089,0.02389324143982884,9.163351700504222,1.0139606596478759e-06,9.988859946942731e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,2.4789451709978093e-05,0.0445515854473538,6.288149238928282e-14,0.6293423705929644,0.426091164069406,1.1025051336974965,42.38228542178067,0.6293423705929644,0.426091164069406,0.390652523360745,0.9377878717065635,0.880255184129794,0.9065124826267843,0.7748491892504572,0.8217648812452366,0.8794460923199261,0.2703125,0.03391276112219567,0.21767661217851514,0.7777509925574343,-0.0007430974131311445,0.004923134971192228,0.003625850985159567,0.006980522115421597,0.026523837049713714,9.163349459353,9.360156984636244e-07,9.672508715213847e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,2.6472529741802396e-05,0.044551446341827054,8.132079932125185e-14,0.6336969517243184,0.43151101461119723,0.9460391571921378,4.160564638497829,0.6336969517243184,0.43151101461119723,0.39064665925381953,0.9499365224950875,0.8850429309131479,0.9067849837782931,0.7833009900962082,0.8222590119906299,0.90237939677006,0.2790625,0.03245206495620087,0.20258822242090738,0.6233611023147078,-0.0008879470509775113,0.005067946307574967,0.0035802304424779607,0.007082958978826499,0.023774048056594735,9.16334657815317,1.1362459438698924e-06,0.00010549370257010283,0.19774907635131964,0.04149503998645001,1.0,0.9999826644908275,0.017417191182320657,0.41876484378353285,0.6199927415086344,0.33385303980707026,1.2742883688914013e-05,1.3729646052888382e-05,0.5186374776721128
